imdbid,movielabs,deluxe,bomid,bomtitle,wwrelease,inreg
tt1307068,Seeking a Friend for the End of the World,Seeking a Friend for the End of the World,seekingafriend,Seeking a Friend for the End of the World,6/22/12,1
tt1305591,Mars Needs Moms,Mars Needs Moms,marsneedsmoms,Mars Needs Moms,3/9/11,0
tt1053810,The Big Year,The Big Year,bigyear,The Big Year,10/14/11,1
tt1764183,Arbitrage,Arbitrage,arbitrage,Arbitrage,9/14/12,1
tt1333125,Movie 43,Movie 43,movie43,Movie 43,1/1/13,1
tt1571222,A Dangerous Method,A Dangerous Method,dangerousmethod,A Dangerous Method,10/2/11,1
tt1623205,Oz the Great and Powerful,Oz the Great and Powerful,oz,Oz The Great and Powerful,3/7/13,1
tt1723811,Shame,Shame,shame,Shame,12/7/11,0
tt0810913,Jack and Jill,Jack and Jill,jackandjill,Jack and Jill,11/11/11,1
tt1462769,The Odd Life of Timothy Green,The Odd Life of Timothy Green,oddlifeoftimothygreen,The Odd Life of Timothy Green,8/15/12,1
tt0905372,The Thing,The Thing,thing11,The Thing (2011),10/12/11,1
tt1629757,Chasing Mavericks,Chasing Mavericks,ofmenandmavericks,Chasing Mavericks,10/25/12,1
tt1706593,Chronicle,Chronicle,chronicle2012,Chronicle (2012),2/1/12,1
tt0975645,Hitchcock,Hitchcock,hitchcock,Hitchcock,12/14/12,0
tt1093357,The Darkest Hour,The Darkest Hour,darkesthour,The Darkest Hour,12/22/11,1
tt0970179,Hugo,Hugo,hugocabret,Hugo,11/23/11,1
tt1189340,The Lincoln Lawyer,Lincoln Lawyer,lincolnlawyer,The Lincoln Lawyer,3/17/11,0
tt1433822,The Apparition,The Apparition,apparition,The Apparition,8/23/12,1
tt0810922,Take Me Home Tonight,Take Me Home Tonight,kidsinamerica2011,Take Me Home Tonight,3/4/11,0
tt1535438,Hope Springs,Hope Springs,greathopesprings,Hope Springs,8/8/12,1
tt0938330,Silent Hill: Revelation 3D,Silent Hill: Revelation 3D,silenthill2,Silent Hill: Revelation 3D,10/25/12,1
tt2083383,Trouble with the Curve,Trouble With The Curve,troublewiththecurve,Trouble with the Curve,9/22/12,1
tt1441952,Salmon Fishing in the Yemen,Salmon Fishing in the Yemen,salmonfishing,Salmon Fishing in the Yemen,3/15/12,0
tt1449283,Winnie the Pooh,Winnie the Pooh,winniethepooh,Winnie the Pooh,4/10/11,0
tt1604171,Prom,Prom,prom,Prom,5/9/11,0
tt1291584,Warrior,Warrior,warrior10,Warrior,9/9/11,1
tt1839492,Ruby Sparks,Ruby Sparks,rubysparks,Ruby Sparks,9/10/12,1
tt2125435,Beasts of the Southern Wild,Beasts of the Southern Wild,beastsofthesouthernwild,Beasts of the Southern Wild,7/5/12,0
tt1716777,People Like Us,People Like Us,peoplelikeus,People Like Us,6/29/12,1
tt1640484,Jumping the Broom,Jumping the Broom,jumpingthebroom,Jumping the Broom,5/9/11,1
tt1389096,Stand Up Guys,Stand Up Guys,standupguys,Stand Up Guys,1/12/13,1
tt1630036,Courageous,Courageous,courageous,Courageous,9/30/11,1
tt1540128,Playing for Keeps,Playing for Keeps,playingthefield,Playing for Keeps,12/5/12,1
tt1343092,Beautiful Creatures,Beautiful Creatures,beautifulcreatures13,Beautiful Creatures (2013),2/13/13,1
tt0763831,A Thousand Words,A Thousand Words,athousandwords,A Thousand Words,3/9/12,1
tt2024432,Identity Thief,Identity Thief,identitythief,Identity Thief,2/8/13,1
tt0968264,The Conspirator,The Conspirator,conspirator,The Conspirator,4/15/11,0
tt1790886,The Campaign,The Campaign,rivals,The Campaign,8/9/12,1
tt1298649,The Watch,The Watch,neighborhoodwatch,The Watch,7/27/12,1
tt1588173,Warm Bodies,Warm Bodies,warmbodies,Warm Bodies,1/31/13,1
tt1862079,Safety Not Guaranteed,Safety Not Guaranteed,safetynotguaranteed,Safety Not Guaranteed,10/18/12,0
tt1229822,Jane Eyre,Jane Eyre,janeeyre2011,Jane Eyre,5/31/11,0
tt1047540,Parental Guidance,Parental Guidance,parentalguidance,Parental Guidance,12/25/12,1
tt1792647,Cirque du Soleil: Worlds Away,Cirque du Soleil: Worlds Away,cirquedusoleil,Cirque Du Soleil: Worlds Away,11/9/12,0
tt1758692,Like Crazy,Like Crazy,likecrazy,Like Crazy,1/27/12,0
tt1606392,Win Win,Win Win,winwin,Win Win,6/4/11,0
tt0844993,Hoodwinked Too! Hood vs. Evil,Hoodwinked Too! Hood vs Evil,hoodwinked2,Hoodwinked Too! Hood vs. Evil,4/29/11,0
tt2215285,Madea's Witness Protection,Madea's Witness Protection,madeaswitnessprotection,Tyler Perry's Madea's Witness Protection,6/29/12,1
tt2053463,Side Effects,Side Effects,bitterpill,Side Effects (2013),2/8/13,0
