"","Actor","Total.Gross","Num.Movies","Avg.Per.Movie","No.1.Movie","Gross.of.No.1.Movie"
"739","Charlize Theron",1372.4,34,40.4,"Hancock",227.9
"740","Max Thieriot",233.5,9,25.9,"The Pacifier",113.1
"741","Olivia Thirlby",348.9,16,21.8,"Juno",143.5
"742","Emma Thompson",1054.1,30,35.1,"Brave",237.3
"743","Tessa Thompson",166.2,3,55.4,"Creed",109.8
"744","Bella Thorne",242,5,48.4,"Alvin and the Chipmunks: The Road Chip",85.9
"745","Billy Bob Thornton",1039,34,30.6,"Armageddon",201.6
"746","Uma Thurman",774.4,31,25,"Pulp Fiction",107.9
"747","Brenton Thwaites",314.8,4,78.7,"Maleficent",241.4
"748","Justin Timberlake",516.4,13,39.7,"Bad Teacher",100.3
"749","Analeigh Tipton",151.8,4,37.9,"Crazy Stupid Love.",84.4
"750","Marisa Tomei",1695.9,43,39.4,"Captain America 3",408.1
"751","Lily Tomlin",451.6,20,22.6,"9 to 5",103.3
"752","Michelle Trachtenberg",254.2,8,31.8,"Inspector Gadget",97.4
"753","John Travolta",2398.8,44,54.5,"Grease",188.8
"754","Stanley Tucci",3123.9,50,62.5,"Catching Fire",424.7
"755","Chris Tucker",795.9,8,99.5,"Rush Hour 2",226.2
"756","Liv Tyler",1545.6,23,67.2,"Return of the King",377.8
"757","Carrie Underwood",43.9,1,43.9,"Soul Surfer",43.9
"758","Kate Upton",128.2,2,64.1,"The Other Woman",83.9
"759","Karl Urban",1959.9,18,108.9,"Return of the King",377.8
"760","Wilmer Valderrama",76.8,8,9.6,"Larry Crowne",35.6
"761","Nia Vardalos",317.9,5,63.6,"My Big Fat Greek Wedding",241.4
"762","Vince Vaughn",1716.8,34,50.5,"The Lost World",229.1
"763","Alexa Vega",369.5,9,41.1,"Spy Kids",112.7
"764","Alicia Vikander",287,7,41,"Jason Bourne",161.8
"765","Goran Visnjic",86.1,7,12.3,"Practical Magic",46.7
"766","Mike Vogel",523,10,52.3,"The Help",169.7
"767","Jon Voight",2027.8,33,61.4,"Transformers",319.2
"768","Mark Wahlberg",2576.6,37,69.6,"Transformers 4",245.4
"769","David Wain",NA,2,NA,"Delirious (2007)",NA
"770","Rhys Wakefield",46.7,3,15.6,"Endless Love",23.4
"771","Christopher Walken",2092.8,62,33.8,"The Jungle Book",364
"772","Paul Walker",1644.4,19,86.5,"Furious 7",353
"773","Quvenzhane Wallis",99.4,3,33.1,"Annie (2014)",85.9
"774","Christoph Waltz",967.2,12,80.6,"Spectre",200.1
"775","Denzel Washington",2303.6,44,52.4,"American Gangster",130.2
"776","Mia Wasikowska",534.2,17,31.4,"Alice in Wonderland",334.2
"777","Emma Watson",2681.9,17,157.8,"Harry Potter / Deathly Hallows (P2)",381
"778","Naomi Watts",920.6,33,27.9,"King Kong",218.1
"779","Damon Wayans",217.4,11,19.8,"The Last Boy Scout",59.5
"780","Keenen Ivory Wayans",69.2,4,17.3,"A Low Down Dirty Shame",29.4
"781","Marlon Wayans",765.6,17,45,"Scary Movie",157
"782","Shawn Wayans",377.9,5,75.6,"Scary Movie",157
"783","John Wayne",8.2,2,4.1,"The Shootist",8.1
"784","Sigourney Weaver",2276.4,46,49.5,"Avatar",760.5
"785","Hugo Weaving",2121,18,117.8,"Fellowship of the Ring",315.5
"786","Rachel Weisz",1222.3,34,36,"Oz The Great and Powerful",234.9
"787","Leigh Whannell",NA,1,NA,"Cooties",NA
"788","Ben Whishaw",666.8,13,51.3,"Skyfall",304.4
"789","Forest Whitaker",1480.2,53,27.9,"Platoon",138.5
